id,reorderBuffer,cacheSize,thread1Cycles,thread2Cycles
61,32,8192,17999928,18056645
62,32,16384,17999928,18056645
63,32,32768,18055345,17998770
64,40,8192,18530735,18471932
65,40,16384,18285345,18343722
66,40,32768,18403720,18345709
67,48,8192,20783649,20849461
68,48,16384,20524317,20589368
69,48,32768,20524717,20589768
70,56,8192,29718391,29799633
71,56,16384,29718391,29799633
72,56,32768,29718819,29800061
