id,reorderBuffer,cacheSize,thread1Cycles,thread2Cycles
49,32,8192,2324078,2369736
50,32,16384,2327509,2373573
51,32,32768,2327889,2373953
52,40,8192,2380375,2427489
53,40,16384,2380375,2427489
54,40,32768,2380756,2427870
55,48,8192,2567000,2617896
56,48,16384,2650112,2600482
57,48,32768,2644735,2595205
58,56,8192,3333508,3396182
59,56,16384,3333508,3396182
60,56,32768,3333908,3396582
