id,reorderBuffer,cacheSize,thread1Cycles,thread2Cycles
37,32,8192,2712754,2779109
38,32,16384,2694249,2760219
39,32,32768,2685845,2751901
40,40,8192,2770930,2835278
41,40,16384,2748202,2811871
42,40,32768,2741316,2804985
43,48,8192,3032761,3099736
44,48,16384,2995437,3061639
45,48,32768,2974662,3040424
46,56,8192,3810262,3887204
47,56,16384,3758719,3834767
48,56,32768,3727265,3802544
