id,reorderBuffer,cacheSize,thread1Cycles,thread2Cycles
13,32,8192,28655368,28733446
14,32,16384,28634882,28712434
15,32,32768,28603885,28681211
16,40,8192,28776466,28856664
17,40,16384,28749646,28829164
18,40,32768,28717372,28796703
19,48,8192,29731716,29649811
20,48,16384,29663353,29747326
21,48,32768,29618188,29701774
22,56,8192,35482552,35580701
23,56,16384,35424174,35520969
24,56,32768,35359432,35455552
