id,cacheSize,reorderBuffer,thread1Cycles,thread2Cycles
1,65536,64,2127989,2172412
2,65536,128,1996694,2039712
3,32768,64,2124926,2169185
4,32768,128,1995648,2038283
5,16384,64,2131144,2175843
6,16384,128,1970831,2013421
7,16384,16,2454386,2499991
8,32768,16,2454629,2496725
9,65536,16,2450727,2496110
