id,cacheSize,reorderBuffer,thread1Cycles,thread2Cycles
1,65536,64,19278534,19249877
2,65536,128,18462036,18526829
3,32768,64,19918519,20009324
4,32768,128,19200216,19287042
5,16384,64,20688575,20796721
6,16384,128,19971097,20076026
