id,cacheSize,reorderBuffer,thread1Cycles,thread2Cycles
1,65536,64,26705791,26771767
2,65536,128,265594876,26652328
3,32768,64,26697118,26769754
4,32768,128,26583798,26649415
5,16384,64,26703114,26775690,
6,16384,128,26568199,26633716
