id,cacheSize,reorderBuffer,thread1Cycles,thread2Cycles
1,65536,64,20519352,20533933
2,65536,128,20401167,20419504
3,32768,64,20517494,20525744
4,32768,128,20398552,20409125
5,16384,64,20521070,20531570
6,16384,128,20402250,20415000
