id,cacheSize,reorderBuffer,thread1Cycles,thread2Cycles
1,65536,64,2609618,2659721
2,65536,128,2450764,2517670
3,32768,64,2611584,2683766
4,32768,128,2459623,2527991
5,16384,64,2617811,2691745
6,16384,128,2472253,2541019
